# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-s" "2" "-a" "/mnt/pv_compute/yifan/ref_genome/mm10.ncbiRefSeq.gtf" "-o" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/counts/S2_STAR2_practice_featurecounts.txt" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam" 
Geneid	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam
Gm9577	0	0	0	0	0	0	0	0	0	0	1	1
Olfr125	0	0	0	0	0	0	0	0	0	0	0	0
Olfr124	0	0	0	0	0	0	0	0	0	0	0	0
Olfr123	0	0	0	0	0	0	0	0	0	0	0	0
Gm18268	0	0	0	0	0	0	0	0	0	0	0	0
Olfr122	0	0	0	0	0	0	0	0	0	0	0	0
Olfr121	0	0	0	0	0	0	0	0	0	0	0	0
Olfr120	0	0	0	0	0	0	0	0	0	0	0	0
Gm7335	0	0	1	0	7	9	4	4	1	0	0	1
Olfr119	0	0	0	0	0	0	0	0	0	0	0	0
Olfr118	0	0	0	0	0	0	0	0	0	0	0	0
Olfr117	0	0	0	0	0	0	0	0	0	0	0	0
Olfr116	0	0	0	0	0	0	0	0	0	0	0	0
Olfr115	0	0	1	1	0	1	0	0	0	0	2	0
Gm18213	0	0	0	1	0	0	1	0	0	0	0	0
Olfr114	0	0	0	0	0	0	0	0	0	0	0	0
Olfr113	0	0	0	0	0	0	0	0	0	0	0	0
Olfr112	0	0	0	0	0	0	0	0	0	0	0	1
Olfr111	19	17	4	15	8	4	10	5	6	4	6	6
Olfr110	0	0	0	0	0	0	0	0	0	0	0	0
H2-M2	6	3	1	0	2	0	3	1	4	2	2	0
Olfr109	0	0	0	0	0	0	0	0	0	0	0	0
Olfr760-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr108	0	0	0	0	0	0	0	0	0	0	0	0
Gm18808	0	0	0	0	0	0	0	0	0	0	0	0
Olfr759-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr107	0	0	0	0	0	0	0	0	0	0	0	0
Olfr106-ps	0	0	0	0	0	0	0	0	0	0	0	0
Olfr758-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr105-ps	0	0	0	0	0	0	0	0	0	0	0	0
Olfr757-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr104-ps	0	0	0	0	0	0	0	0	0	0	0	0
Olfr103	0	0	0	0	0	0	0	0	0	0	0	0
Olfr102	0	0	0	0	0	0	0	0	0	0	0	0
LOC115488843	0	0	0	0	0	0	0	0	0	0	0	0
Olfr101	0	0	0	0	0	0	0	0	0	0	0	0
Olfr756-ps1	0	0	1	0	1	0	0	1	0	0	1	1
Olfr99	2	2	0	1	6	1	3	2	2	1	1	1
Olfr755-ps1	3	1	0	0	1	2	0	0	0	1	2	0
H2-M3	215	201	170	161	248	211	200	165	243	239	211	189
Gm25104	0	0	0	0	0	0	0	0	0	0	0	0
Olfr98	0	1	1	0	0	0	0	0	0	0	0	1
Olfr754-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr97	0	0	0	0	0	0	0	0	0	0	0	0
Olfr96	0	0	0	0	0	0	0	0	0	0	0	0
Olfr95	0	0	0	0	0	0	0	0	0	0	0	0
Olfr94	0	0	0	0	0	0	0	0	0	0	0	0
Ubd	0	0	0	0	1	0	2	0	0	0	0	0
Gm7031	0	0	0	0	0	0	0	0	0	0	0	0
Olfr753-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Vhl-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr93	0	0	0	0	0	0	0	0	0	0	0	0
LOC101056300	0	0	0	0	0	0	0	0	0	0	0	0
Gm19807	0	0	0	0	1	1	0	0	1	0	0	0
Olfr92	0	0	0	0	0	0	0	0	0	0	0	0
Olfr91	0	0	0	0	0	1	0	0	0	0	0	0
Olfr90	0	0	0	0	1	0	0	0	0	0	0	0
Gabbr1	710	553	453	362	1109	969	697	719	175	99	132	212
Mog	0	0	1	11	0	0	3	2	0	0	2	1
Zfp57	2	4	1	2	3	3	2	0	0	1	1	0
H2-M5	1	0	2	0	1	0	2	0	0	1	0	1
H2-M4-ps	0	0	0	0	0	0	0	0	0	0	0	0
2410137M14Rik	0	1	0	0	0	0	0	0	0	0	0	0
Znrd1as	19	14	9	15	6	19	13	7	21	25	15	15
Znrd1	163	166	123	131	208	167	201	134	191	171	119	133
Ppp1r11	288	285	225	232	354	331	309	320	364	312	249	280
Gm33595	0	0	0	0	0	0	0	0	1	0	0	1
Rnf39	2	0	0	0	0	1	0	1	0	1	1	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Trim31	0	0	0	0	0	0	0	0	0	0	0	0
Trim40	0	2	0	2	4	2	1	2	0	0	0	0
Gm4276	0	0	0	0	0	0	0	0	0	0	0	0
Trim10	1	0	1	0	1	0	3	3	0	0	1	0
Trim15	6	2	4	6	11	9	4	7	5	2	6	3
Gm25973	1	0	2	0	1	0	2	0	0	3	0	0
Trim26	699	599	571	486	873	870	713	595	758	549	556	563
H2-M10.6	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.5	0	0	0	1	0	0	0	0	0	0	0	0
Gm4271	0	0	0	0	0	0	0	0	0	0	0	0
Gm8877	0	0	0	0	0	0	0	0	0	0	0	0
H2-M1	0	0	0	0	0	0	0	0	0	0	0	0
Rpl9-ps5	0	0	0	0	0	0	0	0	0	0	0	0
H2-M9	0	0	0	0	0	0	0	0	0	0	0	0
Gm8868	0	0	0	0	0	0	0	0	0	0	0	0
H2-M11	0	0	0	0	0	0	1	0	0	0	0	0
Gm18809	0	0	0	0	0	0	0	0	0	0	1	0
H2-M10.4	0	0	0	0	0	0	0	0	0	0	0	0
Obox3-ps8	0	0	0	0	0	0	0	0	0	0	0	0
Rpl9-ps9	0	0	0	0	0	0	0	0	0	0	0	0
Gm33537	0	0	0	0	0	0	0	0	0	0	0	0
LOC108168704	0	0	0	0	0	0	0	0	0	0	0	0
Stk-ps1	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.3	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.1	0	0	0	0	0	0	0	0	0	0	0	0
Gm33257	4	4	3	2	1	1	6	0	2	5	2	1
H2-M10.2	1	0	0	2	0	0	0	0	0	0	0	0
Trim39	367	331	288	225	322	390	307	247	411	320	274	284
Rpp21	90	73	77	67	110	127	116	79	132	126	76	91
LOC102641092	0	0	0	0	0	0	0	0	0	0	0	0
Gm4252	0	0	0	0	0	0	0	0	0	0	0	0
Gm18604	0	0	0	0	0	0	0	0	0	0	0	0
Gm5682	1	0	0	1	0	1	0	0	0	0	0	0
Gm8835	0	0	0	0	0	0	0	0	0	0	0	0
Gm4246	0	0	0	0	0	0	1	0	2	0	1	1
Gm38417	0	0	0	0	0	0	0	0	0	0	0	0
LOC100862436	0	0	0	0	0	0	0	0	0	0	0	0
H2-T3	0	0	2	0	1	1	0	0	0	0	1	1
Gm6623	1	0	0	0	0	1	0	0	0	0	0	0
Gm17782	0	0	0	0	0	0	0	0	0	0	0	0
LOC105245411	0	0	0	0	0	0	0	0	0	0	0	0
LOC547349	0	0	0	0	0	0	0	0	0	0	0	0
LOC102641095	0	0	0	0	0	0	0	0	0	0	0	0
H2-T18	0	0	0	0	0	0	0	0	0	0	0	0
LOC100862434	0	0	0	0	0	0	0	0	0	0	0	0
H2-Bl	0	0	0	0	11	5	6	4	0	0	1	1
Gm6034	0	0	0	0	0	1	1	0	1	0	0	0
H2-T22	306	280	255	226	393	325	297	254	483	391	393	323
H2-T23	1076	952	989	835	1198	1209	948	853	971	766	747	645
Gm11127	0	0	0	0	0	0	0	0	0	0	0	0
H2-T24	116	80	80	59	76	61	91	70	134	109	95	93
Gnl1	566	467	471	367	1124	1015	787	627	686	557	524	592
Prr3	133	142	140	73	424	361	242	192	186	146	151	156
Mir877	0	0	0	0	0	1	0	0	0	0	0	0
Abcf1	1041	885	904	669	1385	1623	1168	994	1655	1510	1318	1171
Gm8801	0	0	2	0	4	8	3	1	1	2	1	0
Rbx1-ps	3	4	2	1	4	5	4	1	3	2	1	1
Mir1894	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r10	658	746	648	549	827	1162	999	533	959	938	585	730
Mrps18b	89	76	85	54	81	142	145	75	186	170	133	117
Gm16279	4	4	10	2	9	4	2	7	4	11	10	3
Atat1	108	79	79	47	60	51	52	55	65	79	50	65
2310061I04Rik	212	165	142	137	117	140	163	103	250	210	172	150
Dhx16	805	685	670	531	767	798	738	630	1017	918	751	740
Ppp1r18	1906	1542	1542	1170	1626	1767	1437	1379	2263	1931	1709	1519
Nrm	241	197	235	138	215	241	179	162	783	666	687	553
Mdc1	708	688	659	474	545	575	479	468	1316	1236	920	857
Gm32463	0	0	0	0	0	0	0	0	0	0	0	0
Tubb5	6039	5068	5189	3757	5199	5431	5407	4340	18395	17796	16380	13448
Flot1	310	318	315	260	284	338	281	206	424	447	328	301
Ier3	49	65	71	68	590	299	217	161	86	168	63	84
Gm32409	0	0	0	0	0	0	0	0	0	0	0	0
4833427F10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm4577	0	0	0	0	0	0	0	0	0	0	0	0
LOC115488883	0	0	0	0	0	0	0	0	0	0	0	0
Ddr1	1	0	1	5	6	2	3	2	0	1	2	1
Gtf2h4	127	106	108	78	96	133	98	71	208	210	129	113
Vars2	212	171	134	108	146	166	158	126	311	271	251	208
Sfta2	0	0	0	0	0	0	0	0	0	0	0	0
Mucl3	0	0	0	0	0	0	0	0	0	0	0	0
Gm9573	0	0	0	0	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Cdsn	0	1	0	1	0	0	0	0	0	0	0	0
Psors1c2	2	1	0	0	0	0	0	0	0	2	2	1
Cchcr1	206	178	166	85	139	141	115	100	478	442	388	336
H2-Q10	0	0	1	2	199	161	156	94	2	6	4	12
Gm8752	1	0	3	0	2	2	1	0	2	0	3	1
H2-Q7	52	66	51	42	65	51	62	43	66	42	33	31
H2-Q6	117	126	123	103	385	339	308	231	91	99	88	80
Gm8750	0	0	0	0	1	0	0	0	0	0	0	0
LOC100862431	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q4	379	310	337	238	1147	969	868	631	443	358	386	359
H2-Q3	0	0	0	0	2	3	4	0	0	0	0	0
Gm52319	0	0	0	0	0	0	3	1	0	0	0	0
H2-Q2	1	0	2	0	131	113	99	69	0	3	0	16
Gm8741	1	0	1	1	4	4	4	1	4	1	4	0
H2-Q1	1	0	0	0	36	46	29	21	0	0	0	1
Gm18734	0	0	0	0	5	6	5	1	0	0	0	0
Gm18733	0	0	0	0	7	5	6	2	0	0	1	3
H2-D1	12583	12154	11378	9524	17771	16456	13833	11254	13689	11720	10895	10235
Mir8094	1	4	1	0	1	1	4	2	1	1	1	1
Gm25128	1	0	2	2	4	4	5	3	4	0	0	1
Mir6975	0	0	0	0	0	0	1	0	0	0	0	1
LOC115488830	5	1	1	0	4	2	5	2	1	0	2	4
Ddx39b	1658	1455	1474	1073	2323	2589	2193	1403	2854	2666	2462	2239
Atp6v1g2	80	54	62	39	75	68	57	59	84	73	59	55
Nfkbil1	183	147	160	108	146	177	150	107	233	192	158	164
Mir6974	0	0	0	0	0	0	0	0	0	0	0	0
Lta	3	0	2	0	16	8	10	5	2	1	0	3
Tnf	168	112	123	77	316	378	332	251	192	107	96	119
Mir6973a	0	0	0	0	0	0	0	0	0	0	0	1
Ltb	11	22	28	13	12	13	18	15	5	5	14	7
Lst1	37	43	49	48	78	74	54	51	68	40	49	55
Ncr3-ps	7	3	3	2	1	2	3	2	6	1	5	2
Aif1	5	4	6	4	11	8	3	4	4	7	5	6
Gm23442	3	1	0	2	3	5	0	0	2	0	2	1
Prrc2a	3799	3112	2953	2174	3791	3864	3197	2930	5441	4640	3990	3253
Bag6	1913	1648	1583	1242	2523	2465	1856	1700	2748	2399	2201	1784
Apom	3	1	1	0	7	5	5	1	1	4	1	2
D17H6S53E	172	145	124	103	133	177	150	106	189	177	148	174
Gm20522	25	19	19	9	12	17	11	23	30	16	22	23
Gpank1	101	98	72	71	86	78	77	86	147	116	109	89
Csnk2b	208	136	157	136	187	189	156	161	286	254	166	219
Ly6g5b	20	10	8	4	23	19	22	17	20	19	17	17
Ly6g5c	0	0	0	0	0	0	0	0	0	0	0	0
Abhd16a	599	503	450	384	797	837	656	484	796	646	621	521
Ly6g6f	0	0	0	0	0	1	0	0	0	0	0	0
Ly6g6e	0	0	0	0	0	0	0	0	1	0	0	0
Ly6g6d	0	0	0	0	0	0	1	0	0	0	0	0
Ly6g6c	0	0	0	0	0	0	0	0	0	0	1	0
G6bos	0	0	0	0	0	0	0	0	0	0	0	0
Mpig6b	0	1	0	0	1	1	0	0	0	0	4	0
Ddah2	14	3	6	5	7	8	13	5	20	12	9	7
Clic1	2517	2153	2159	1842	2826	2666	2405	2087	4386	4214	3565	2851
Gm23421	0	0	0	0	0	0	0	0	0	0	0	0
Msh5	2	2	0	4	18	12	25	18	29	21	29	30
Gm52318	0	0	1	0	2	0	2	1	0	2	1	0
Sapcd1	0	3	0	0	0	2	0	0	6	6	3	4
Vwa7	4	2	2	1	1	0	1	0	9	3	4	2
Vars	832	706	734	478	778	1080	890	608	2345	2306	1867	1573
D17H6S56E-5	343	296	273	208	259	262	256	188	1881	1850	1426	1217
Lsm2	147	117	114	93	121	115	98	103	420	419	285	286
Hspa1l	12	19	15	11	6	9	11	15	25	21	12	16
Hspa1a	58	88	39	28	19	9	12	47	34	186	10	7
Hspa1b	76	140	45	66	28	10	21	70	44	426	10	10
Gm8696	1	1	2	1	1	3	3	0	1	3	4	0
LOC115488834	2	0	1	0	1	2	2	1	1	1	1	3
Snord52	1	0	0	1	0	1	6	2	0	1	1	2
1110038B12Rik	81	76	60	45	80	50	78	61	104	80	79	65
